BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
293,Middle Tennessee Blue Raiders,CUSA,18-May,-6.4,-0.9,-7.4,2021,,,,,
294,Central Michigan Chippewas,MAC,16-Jul,-2,-5.4,-7.4,2021,,,,,
295,UIC Flames,Horizon,13-Sep,-5.4,-2,-7.4,2021,,,,,
296,UL Monroe Warhawks,Sun Belt,19-Jul,-5.4,-2,-7.4,2021,,,,,
297,Northwestern State Demons,Southland,18-Nov,-3.1,-4.4,-7.5,2021,,,,,
298,Coppin State Eagles,MEAC,13-Sep,-6.8,-0.7,-7.5,2021,,,,,
299,Florida International Panthers,CUSA,17-Sep,-3,-4.6,-7.6,2021,,,,,
300,Binghamton Bearcats,Am. East,14-Apr,-2.4,-5.2,-7.6,2021,,,,,
301,Grambling Tigers,SWAC,12-Dec,-6,-1.7,-7.7,2021,,,,,
302,North Dakota Fighting Hawks,Summit,17-Sep,-3.4,-4.4,-7.8,2021,,,,,
303,Robert Morris Colonials,Horizon,15-Apr,-3.1,-4.8,-7.9,2021,,,,,
304,Central Arkansas Bears,Southland,19-May,-3.2,-4.7,-7.9,2021,,,,,
305,Western Michigan Broncos,MAC,16-May,-6,-1.9,-7.9,2021,,,,,
306,North Florida Ospreys,ASUN,15-Aug,-1.2,-6.7,-7.9,2021,,,,,
307,Eastern Michigan Eagles,MAC,12-Jun,-4.7,-3.7,-8.3,2021,,,,,
308,New Mexico Lobos,Mountain West,16-Jun,-6.4,-2.2,-8.6,2021,,,,,
309,William & Mary Tribe,CAA,10-Jul,-4.8,-3.8,-8.6,2021,,,,,
310,Omaha Mavericks,Summit,20-May,-4.9,-3.8,-8.6,2021,,,,,
311,Maine Black Bears,Am. East,7-Feb,-8.6,0,-8.6,2021,,,,,
312,Western Illinois Leathernecks,Summit,15-Jul,-4.4,-4.3,-8.7,2021,,,,,
313,Tennessee State Tigers,OVC,19-Apr,-7.4,-1.7,-9.1,2021,,,,,
314,North Carolina Central Eagles,MEAC,9-May,-4.9,-4.4,-9.3,2021,,,,,
315,Tennessee Tech Golden Eagles,OVC,22-May,-4.8,-4.6,-9.4,2021,,,,,
316,Hampton Pirates,Big South,14-Nov,-4.8,-4.6,-9.5,2021,,,,,
317,Presbyterian Blue Hose,Big South,15-Jul,-6.9,-2.8,-9.6,2021,,,,,
318,Lehigh Mountain Hawks,Patriot,11-Apr,-5.3,-4.4,-9.8,2021,,,,,
